description,price,image,market,brand
"Smart TV Philips HD 32""Android gris oscuro","$ 239.999,00",https://carrefourar.vtexassets.com/arquivos/ids/307804-170-170?v=638138777275300000&width=170&height=170&aspect=true,Carrefour,PHILIPS
"Smart tv android 43"" BGH fhd pne040281","$ 369.999,00",https://carrefourar.vtexassets.com/arquivos/ids/424685-170-170?v=638381697278330000&width=170&height=170&aspect=true,Carrefour,BGH
"Smart tv 55"" Samsung 4k qled qn55q65cagczb","$ 902.499,00",https://carrefourar.vtexassets.com/arquivos/ids/372527-170-170?v=638303134233230000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
"Smart TV 55"" Samsung 4K QLED QN55Q65BAGCZB","$ 883.499,00",https://carrefourar.vtexassets.com/arquivos/ids/267499-170-170?v=638065406903400000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
"Smart tv android 43"" TCL fhd l43s5400 f","$ 399.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419843-170-170?v=638361974422170000&width=170&height=170&aspect=true,Carrefour,TCL
Soporte tv Eurosound 15 a 43 fijo,"$ 8.720,00",https://carrefourar.vtexassets.com/arquivos/ids/205313-170-170?v=637604375815700000&width=170&height=170&aspect=true,Carrefour,EUROSOUND
"Soporte para TV led TGW de 14"" a 43"" movil con doble brazo","$ 49.999,00",https://carrefourar.vtexassets.com/arquivos/ids/346362-170-170?v=638235603221300000&width=170&height=170&aspect=true,Carrefour,
"Soporte para TV Eurosound ESF2000 fijo negro 32"" a 60""","$ 9.520,00",https://carrefourar.vtexassets.com/arquivos/ids/345718-170-170?v=638230486184700000&width=170&height=170&aspect=true,Carrefour,EUROSOUND
"Tv led BHG 55"" UHD Smart andorid B5522US6A negro","$ 569.999,00",https://carrefourar.vtexassets.com/arquivos/ids/258618-170-170?v=638018115936730000&width=170&height=170&aspect=true,Carrefour,
Soporte tv Eurosound 32 a 60 basculante,"$ 29.900,00",https://carrefourar.vtexassets.com/arquivos/ids/205304-170-170?v=637604375743270000&width=170&height=170&aspect=true,Carrefour,EUROSOUND
Soporte tv Eurosound 15 a 43 con braso movil,"$ 28.900,00",https://carrefourar.vtexassets.com/arquivos/ids/205318-170-170?v=637604375850270000&width=170&height=170&aspect=true,Carrefour,EUROSOUND
Antena Directv Prepago 046 MTS,"$ 9.999,00",https://carrefourar.vtexassets.com/arquivos/ids/156944-170-170?v=637467543386930000&width=170&height=170&aspect=true,Carrefour,
"Soporte móvil de TV TGW para pared 17"" a 42""","$ 34.990,00",https://carrefourar.vtexassets.com/arquivos/ids/156869-170-170?v=637467542629470000&width=170&height=170&aspect=true,Carrefour,
"Smart tv qled android googletv 85"" TCL 4k l85c645","$ 1.999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419851-170-170?v=638361974483970000&width=170&height=170&aspect=true,Carrefour,TCL
Kit Antena DirecTV Prepago 60 cm,"$ 9.999,00",https://carrefourar.vtexassets.com/arquivos/ids/156874-170-170?v=637467542669830000&width=170&height=170&aspect=true,Carrefour,
