description,price,image,market
Cuchillos Descartables Blancos X 20 Unidades,"$29,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00223600/00223652.jpg?3.0.165,Coto
Leche Chocolatada ​La Serenísima Clásico 1lt,"$1.669,10",https://static.cotodigital3.com.ar/sitios/fotos/medium/00574000/00574096.jpg?3.0.165,Coto
Fosforos Aniversario 400u,"$805,21",https://static.cotodigital3.com.ar/sitios/fotos/medium/00577500/00577541.jpg?3.0.165,Coto
Fosforos Buenos Dias 220u,"$512,39",https://static.cotodigital3.com.ar/sitios/fotos/medium/00576900/00576916.jpg?3.0.165,Coto
Fosforos Tres Estrellas 3 Patitos 400u.,"$955,26",https://static.cotodigital3.com.ar/sitios/fotos/medium/00563900/00563960.jpg?3.0.165,Coto
Fosforos Tres Patitos 400u.,"$955,26",https://static.cotodigital3.com.ar/sitios/fotos/medium/00563900/00563969.jpg?3.0.165,Coto
Fosforos Tres Patitos 222u.,"$601,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00563900/00563970.jpg?3.0.165,Coto
Fosforos Tres Estrellas 3 Patitos 220u.,"$601,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00563900/00563968.jpg?3.0.165,Coto
Capelettis Rellenos Con Pollo Y Verdura MENDIA 500g,"$1.378,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00461400/00461478.jpg?3.0.165,Coto
Fosforos Sustentables 3 Patitos 400u,"$1.241,50",https://static.cotodigital3.com.ar/sitios/fotos/medium/00579100/00579121.jpg?3.0.165,Coto
Cuchillo Descartable Tami Blanco Blister X20u,"$79,90",https://static.cotodigital3.com.ar/sitios/fotos/medium/00479400/00479406.jpg?3.0.165,Coto
Cuchillo Descartable Darnel Cristal Blister X20u,"$89,90",https://static.cotodigital3.com.ar/sitios/fotos/medium/00479400/00479405.jpg?3.0.165,Coto
Escarbadient - Dos Picos Bsa 100 Uni,"$542,11",https://static.cotodigital3.com.ar/sitios/fotos/medium/00237000/00237063.jpg?3.0.165,Coto
Escarbadientes Iberia 1 Paq 50 Unidades,"$346,18",https://static.cotodigital3.com.ar/sitios/fotos/medium/00284500/00284567.jpg?3.0.165,Coto
Terminales Para Trenza TAO X 80u,"$627,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00536300/00536390.jpg?3.0.165,Coto
Servilletas Clásicas SUSSEX 80u,"$873,65",https://static.cotodigital3.com.ar/sitios/fotos/medium/00553700/00553720.jpg?3.0.165,Coto
Te Negro Clasico Pajaro Azul 25u.,"$282,04",https://static.cotodigital3.com.ar/sitios/fotos/medium/00559600/00559641.jpg?3.0.165,Coto
Pañuelos Descartables Doble Hoja Elite 90u.,"$1.310,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00567800/00567829.jpg?3.0.165,Coto
Hisopos ESTRELLA 125u,"$1.899,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00521500/00521550.jpg?3.0.165,Coto
Hisopos Sin Plástico MERAKI 100u,"$1.521,26",https://static.cotodigital3.com.ar/sitios/fotos/medium/00561900/00561923.jpg?3.0.165,Coto
Servilletas Ultra Suave Elite 100uni,"$1.580,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00572900/00572909.jpg?3.0.165,Coto
Mate Cocido En Saquitos Pajaro Azul 25u.,"$424,92",https://static.cotodigital3.com.ar/sitios/fotos/medium/00559600/00559650.jpg?3.0.165,Coto
Cinta De Embalar THS 37 M Marrón,"$636,25",https://static.cotodigital3.com.ar/sitios/fotos/medium/00137000/00137068.jpg?3.0.165,Coto
Palitos Brochette Iberia 100 Uni,"$1.731,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00558700/00558786.jpg?3.0.165,Coto
Film Separador SEPARATA Para Freezer 19x25 Bol 100 Uni,"$1.759,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00101400/00101416.jpg?3.0.165,Coto
COTONETES Johnson Flexibles 150u,"$2.648,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00065200/00065240.jpg?3.0.165,Coto
Cinta Scotch Empaque Transp 24 Mm X 50 Mts . . .,"$918,85",https://static.cotodigital3.com.ar/sitios/fotos/medium/00456800/00456809.jpg?3.0.165,Coto
Pañuelos Descartables Infinity Felpita 75u,"$1.405,65",https://static.cotodigital3.com.ar/sitios/fotos/medium/00568100/00568179.jpg?3.0.165,Coto
Servilletas Blancas FELPITA 140u,"$2.628,38",https://static.cotodigital3.com.ar/sitios/fotos/medium/00526600/00526650.jpg?3.0.165,Coto
Servilletas FELPITA Paquete 70 Unidades,"$1.314,40",https://static.cotodigital3.com.ar/sitios/fotos/medium/00464700/00464722.jpg?3.0.165,Coto
Mate Cocido Yerba Mate En Saquitos Don Omar 50u,"$967,96",https://static.cotodigital3.com.ar/sitios/fotos/medium/00568100/00568129.jpg?3.0.165,Coto
Papel Glace Lustre X 10 Hojas,"$199,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00178800/00178823.jpg?3.0.165,Coto
Te X50 Saq Filtro Taragui Est 50 Uni,"$1.025,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00511700/00511775.jpg?3.0.165,Coto
Hisopos ESTRELLA 100u,"$2.053,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00521500/00521569.jpg?3.0.165,Coto
Servilletas Blancas Felpita Paq 70 Uni,"$1.445,91",https://static.cotodigital3.com.ar/sitios/fotos/medium/00526600/00526649.jpg?3.0.165,Coto
Mate Cocido Yerba Mate Don Omar 25u.,"$520,41",https://static.cotodigital3.com.ar/sitios/fotos/medium/00568100/00568142.jpg?3.0.165,Coto
Señalador Galera SIFAP Varios Colores 50 Unidades,"$1.069,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00488400/00488486.jpg?3.0.165,Coto
Salsa Picante Tapatio 296ml,"$6.469,22",https://static.cotodigital3.com.ar/sitios/fotos/medium/00563800/00563821.jpg?3.0.165,Coto
