description,price,supermercado
Cuchillos Descartables Blancos X 20 Unidades,"$29,00"
Leche Chocolatada ​La Serenísima Clásico 1lt,"$1.669,10"
Fosforos Aniversario 400u,"$805,21"
Capelettis Rellenos Con Pollo Y Verdura MENDIA 500g,"$1.019,00"
Fosforos Buenos Dias 220u,"$512,39"
Fosforos Tres Estrellas 3 Patitos 400u.,"$955,26"
Fosforos Tres Patitos 400u.,"$955,26"
Fosforos Tres Patitos 222u.,"$601,00"
Fosforos Tres Estrellas 3 Patitos 220u.,"$601,00"
Cuchillo Descartable Tami Blanco Blister X20u,"$79,90"
Cuchillo Descartable Darnel Cristal Blister X20u,"$89,90"
Escarbadient - Dos Picos Bsa 100 Uni,"$542,11"
Terminales Para Trenza TAO X 80u,"$627,00"
Pañuelos Descartables Doble Hoja Elite 90u.,"$968,31"
Servilletas Clásicas SUSSEX 80u,"$873,65"
Te Negro Clasico Pajaro Azul 25u.,"$282,04"
Hisopos Flexibles Spring Valley 100 Uni,"$1.231,10"
Servilletas Ultra Suave Elite 100uni,"$1.262,39"
Hisopos ESTRELLA 125u,"$1.651,99"
Hisopos Sin Plástico MERAKI 100u,"$1.521,26"
Mate Cocido En Saquitos Pajaro Azul 25u.,"$424,92"
Cinta De Embalar THS 37 M Marrón,"$636,25"
Palitos Brochette Iberia 100 Uni,"$1.731,99"
COTONETES Johnson Flexibles 150u,"$2.648,99"
Hisopos ESTRELLA 100u,"$1.786,99"
Servilletas Gold Elite Paq 35 Uni,"$631,92"
Cinta Scotch Empaque Transp 24 Mm X 50 Mts . . .,"$918,85"
Pañuelos Descartables Infinity Felpita 75u,"$1.405,65"
Servilletas FELPITA Paquete 70 Unidades,"$1.314,40"
Servilletas Blancas FELPITA 140u,"$2.628,38"
Hisopos ESTRELLA 125u,"$2.376,99"
Mate Cocido Yerba Mate En Saquitos Don Omar 50u,"$967,96"
Papel Glace Lustre X 10 Hojas,"$199,00"
Te X50 Saq Filtro Taragui Est 50 Uni,"$1.025,00"
Servilletas Blancas Felpita Paq 70 Uni,"$1.445,91"
Mate Cocido Yerba Mate Don Omar 25u.,"$520,41"
Desmaquillador ESTRELLA Discos 80u,"$1.683,99"
Señalador Galera SIFAP Varios Colores 50 Unidades,"$1.069,00"
Salsa Picante Tapatio 296ml,"$6.469,22"
Cinta Transparente Scotch 500 12 Mm 25 M 1 Unidad,"$569,00"
Servilletas FELPITA De Mesa 33x30 Paquete 40 Unidades,"$939,82"
Palitos Para Brochette IDEAL Paq 25 Uni,"$605,10"
Leñitas Encendido Humos Ata 12 Uni,"$649,00"
Palitos P/Brochettes Iberia Bli 25 Uni,"$636,63"
Protectores Diarios Cola Less Calipso 50u,"$1.273,99"
Toallas Húmedas Clasicas Sin Parabenos Q Soft 50u,"$1.283,99"
Toallas Húmedas Aloe Baby Q Soft 50u,"$1.283,99"
Protectores Diarios Normal Calipso 80u,"$2.076,52"
Apósitos Adhesivos CURITAS Transpiel Resistentes Al Agua X 20 Unidades,"$539,99"
Invisibles TAO Bli 24 Uni,"$679,99"
Toalla Humeda Triple Protecc Huggies Paq 96 Uni,"$2.731,86"
LYSOL Toallitas Desinfectantes Brisa De La Mañana 36 Unid.,"$1.063,96"
LYSOL Toallitas Desinfectantes Frescura Marina 36 Unid.,"$1.063,96"
Papel Glace Luma Metalizado 10 Hojas,"$299,00"
Cloro En Pastillas Multiacción Nataclor 50g 1/4 Kg,"$7.669,00"
Filtro Para Cafe Domestic Nro 4 Paq 100,"$3.119,00"
Sobre Para Tarjeta Personal N°3 Medoro 70 Gr X 20,"$629,00"
Toalla Humeda Triple Protecc Huggies Paq 48 Uni,"$1.514,99"
.Clavos De Hierro 8 X 20 -67 -,"$1.599,00"
.Clavos De Hierro De 1 1/2 Pugada -70 -,"$1.599,00"
.Clavos De Hierro 10 X 35 -68 -,"$1.599,00"
.Clavos De Hierro De 1 Pulgada -69 -,"$1.599,00"
Protectores Diarios Multiestilo Calipso 50u,"$1.616,38"
Protectores Diarios Protección Normal NOSOTRAS 60 Uni,"$1.946,99"
Apósitos Surtidos CURITAS Transpiel Resistentes Al Agua X 40 Unidades,"$1.375,88"
"Cinta De Empaque Marrón 48mmx40m Scotch
","$1.378,85"
"3M Cinta De Enmascarar, 18mm X 40m - Caja Precortada","$1.378,85"
Protectores Diarios Multiestilo Nosotras 100u,"$3.495,99"
Algodon ESTRELLA Pompones Bol 50 Uni,"$1.799,99"
Incienso Varilla X 20 Unidades Fragancia Verbena Fresia,"$729,00"
Incienso Varilla X 20 Unidades Fragancia Gardenia,"$729,00"
Incienso Varilla X 20 Unidades Fragancia Citrus,"$729,00"
description,price
Incienso Varilla X 20 Unidades Fragancia Sandia Pepino ,"$729,00"
Incienso Varilla X 20 Unidades Fragancia Vainilla,"$729,00"
Incienso Varilla X 20 Unidades Fragancia Maracuya ,"$729,00"
Incienso Varilla X 20 Unidades Fragancia Coco Vainilla ,"$729,00"
Precintos Nylon 3.6 X 140 Mm X 100 Und Colores Surtidos,"$3.699,00"
Toallas Humedas ESPADOL Antibacterial Paq 50 Uni,"$1.909,81"
Protectores Diarios Sin Perfume Carefree 80u.,"$3.094,99"
Protectores Diarios Protección Normal NOSOTRAS 100 Uni,"$3.873,99"
Protectores Diarios Compact Carefree 20u,"$779,99"
Apósitos Adhesivos CURITAS Transpiel Resistentes Al Agua X 10 Unidades,"$399,99"
Protectores Diarios Sin Perfume Carefree 100u,"$4.080,99"
Folio Escolar Luma 30-05 10 Unidades,"$409,00"
Apósitos Adhesivos Manía Para Todo Tipo De Piel X 6 Unidades,"$248,68"
Broche Plástico Sin Resorte TU CASA  X12u,"$499,00"
Pastillas De Encen P/Carbon Y Leñ Humos Cja 24 Uni,"$999,00"
Sobre Comercial Medoro 63 Gr Con Fondo X 20,"$839,00"
Protectores Diarios Multiforma NOSOTRAS 60 Uni,"$2.543,99"
"3M Cinta De Enmascarar, 24mm X 40m - Caja Precortada","$1.723,85"
Protectores Diarios Respirable Nosotras 15u,"$648,99"
Toallitas Micelares Algabo 25 Uni,"$1.094,60"
Globos Perlados 9'' X 25 Unidades Multicolor,"$1.119,00"
Protectores Diarios Largos NOSOTRAS 15 Uni,"$679,35"
Toallitas Bialcohol 15 Bialcohol Paq 15 Uni,"$686,84"
Apósitos Adhesivos CURITAS Tela Elástica Para Todo Tipo De Piel X 10 Unidades,"$457,99"
Protectores Sin Perfume Carefree 20u,"$922,06"
Protectores Diarios Ultra Flexible Kotex 60 Uni,"$2.795,44"
Protectores Diario Multiestilo NOSOTRAS 20 Uni,"$943,99"
Toalla Humeda Cuidado 4 En 1 Huggies Paq 80 Uni,"$3.783,70"
Toallas Femeninas Normal Calipso 16u,"$780,38"
Toallas Humedas ESPADOL Antibacteriales Fwp 10 Un,"$491,41"
Protectores Todos Los Dias Carefree 60u,"$2.953,25"
Bolsa Hermetica Multiuso Extra Chica Separata 20u. ,"$985,54"
Papel Glace Flúor X 5 Hojas,"$249,00"
Funda Cuaderno X 5 Unidades,"$249,00"
Protectores Diarios Ultra Flexible KOTEX 20 Uni,"$997,26"
Crayones FILGO  12 Unidades  ,"$599,00"
Protectores Diarios Plus Sensitive ALWAYS 40 Uni,"$1.998,62"
Protectores Diarios Sin Perfume Carefree 20u.,"$1.004,99"
Protectores Diarios Multiestilo Nosotras 60u,"$3.023,76"
Toallitas Desinfectantes AYUDÍN Fresco (Frasco) 65u,"$3.287,00"
Te Negro Avellanas Taragui 20u.,"$1.015,00"
Te Verde Y Higo Taragui 20u.,"$1.015,00"
Te Negro Limón Miel Y Jengibre Taragui 20u.,"$1.015,00"
Folios   LUMA Escolar 10 Unidades,"$509,00"
Protectores Diarios ALWAYS Con Perfume Plus 40 Un,"$2.038,40"
"Bolsas Herméticas ZIPLOC 16,5x14,9 Cm 50 U. Para Llevar","$2.559,17"
Protector TENA Discreet Largo Sin Alas X50,"$2.566,97"
Cinta Transparente Scotch 12 Mm 20m 1u,"$1.029,00"
Protectores Diarios Esencial Kotex Paq 60 Uni,"$3.099,96"
Bolsa De Residuos Pequeña 45x60 Flowi 20u.,"$1.046,41"
Protector Incontinencia Esencial Plenitud Paq 20 Uni,"$1.051,94"
Sobre Papel Manila Medoro 162x229mm X 10 ,"$529,00"
Protectores Diarios ALWAYS Respirable Sin Perfume Plus 40 Un,"$2.117,01"
Lapices De Color SIMBALL Innovation 6 Unidades,"$319,00"
Lapices De Color FILGO Mini 12 Unidades,"$639,00"
Protectores Diarios Plus Sin Perfume ALWAYS 40 Uni,"$2.137,20"
Protectores Diarios Largos Nosotras 15u,"$801,99"
NEXT Ab Toallitas X 25 Piezas,"$1.342,47"
Toallitas Húmedas Control De Olores Huggies 48u.,"$2.588,81"
Cinta Scotch Crystal Tape 18 Mm 20 Mtr,"$1.089,00"
Toalla Humeda Cuidado 4 En 1 Huggies Paq 48 Uni,"$2.618,48"
Toallas Húmedas Disney Baby HUGGIES 48 Uni,"$2.619,63"
Cartuchos Tinta Filgo Modelo Europeo Azul Real 6 Unidades,"$329,00"
Vaso Descartable Amarillo Cuadrille,"$549,00"
Vaso Descartable Rojo Dots,"$549,00"
Vaso Descartable Magic Stars ,"$549,00"
Protectores Largos Con Perfume Carefree 60u,"$3.304,99"
Toalla Humeda Puro Y Natural Huggies Paq 80 Uni,"$4.443,51"
Apósitos Adhesivos CURITAS Manía Para Todo Tipo De Piel X 20 Unidades,"$1.115,10"
Paños Bebe ESTRELLA Bol 40 Uni,"$2.230,99"
"Precintos Plasticos Negro BLISTER PRAC 100x2,4mm 25u","$1.399,00"
Toallas Húmedas Protección Oleo Calcáreo Huggies 80u.,"$4.495,43"
description,price
Insecticida RAID Contra Mosquitos Tabletas Repuesto 24un,"$1.350,00"
Protectores Diarios Antibacterial Kotex 20 Uni,"$1.126,05"
Protectores Diarios Esencial Kotex Paq 20 Uni,"$1.133,33"
Toallitas Húmedas Para Bebé Johnsons Limpieza Y Suavidad X 44 Un,"$2.496,99"
Toallitas Hipoalergénicas Para Bebé Johnsons Cabeza A Los Pies X 44 Un.,"$2.496,99"
Bolsas De Polietileno TRASH 45 X 60 Cm 30 U. Multiuso,"$1.708,07"
Precintos Nylon 3.6 X 200 Mm X 100 Und . .,"$5.699,00"
"Protector Diario Kotex Cuidado Diario Multiestilo X100
","$5.741,71"
Figazzita Manteca  6 Uni,"$347,99"
Protectores Diarios ALWAYS Respirable Sin Perfume 15 Un,"$869,87"
Folios Oficio LUMA 30-06 10 Unidades,"$589,00"
Cepillo Interdental GUM Con Estuche Blister 40 Unidades,"$2.363,99"
Sobre Retrato N1 Medoro 90 Gr X 10 U,"$599,00"
Protectores Diarios Largos Nosotras 50u,"$2.999,99"
Sobre Papel Manila Medoro 300x400mm X 10,"$1.219,00"
Filtro De Papel Para Cafe Nº2 X 30u,"$1.835,00"
Cartucho Pelikan Estilogr 6 Uni,"$369,00"
Bolsas De Residuos TASK 34 X 38 Cm 20 U. Para Baño Oficia Papeleros Pequeños,"$1.232,46"
Protectores Largos Con Perfume Carefree 20 Uni,"$1.234,99"
"Protector Diario Kotex Cuidado Diario Multiestilo X20
","$1.237,01"
Protector TENA Discreet Largo Sin Alas X15,"$937,07"
Toalla Humeda Puro Y Natural Huggies Paq 48 Uni,"$3.028,50"
Toalla Humeda Oleo Calcáreo Huggies Paq 48 Uni,"$3.028,50"
"Protector Diario Kotex Cuidado Diario Multiestilo X60
","$3.790,71"
"3M Cinta De Enmascarar, 36mm X 40m - Caja Precortada","$2.528,85"
Precintos Nylon 4.8 X 160mm X 100u,"$6.399,00"
"3M Cinta De Enmascarar, 48mm X 40m - Caja Precortada","$3.218,85"
