description,price,image,market,quantity,unit
"Smart TV Philips HD 32""Android gris oscuro","$ 239.999,00",https://carrefourar.vtexassets.com/arquivos/ids/307804-170-170?v=638138777275300000&width=170&height=170&aspect=true,Carrefour,,
"Smart tv android 43"" BGH fhd pne","$ 369.999,00",https://carrefourar.vtexassets.com/arquivos/ids/424685-170-170?v=638381697278330000&width=170&height=170&aspect=true,Carrefour,,
"Smart tv 55"" Samsung  qled qn","$ 902.499,00",https://carrefourar.vtexassets.com/arquivos/ids/372527-170-170?v=638303134233230000&width=170&height=170&aspect=true,Carrefour,,
"Smart TV 55"" Samsung  QLED QN","$ 883.499,00",https://carrefourar.vtexassets.com/arquivos/ids/267499-170-170?v=638065406903400000&width=170&height=170&aspect=true,Carrefour,,
"Smart tv android 43"" TCL fhd l","$ 399.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419843-170-170?v=638361974422170000&width=170&height=170&aspect=true,Carrefour,,
Soporte tv Eurosound,"$ 8.720,00",https://carrefourar.vtexassets.com/arquivos/ids/205313-170-170?v=637604375815700000&width=170&height=170&aspect=true,Carrefour,,
"Soporte para TV led TGW de 14"" a 43"" movil con doble brazo","$ 49.999,00",https://carrefourar.vtexassets.com/arquivos/ids/346362-170-170?v=638235603221300000&width=170&height=170&aspect=true,Carrefour,,
"Soporte para TV Eurosound ESF negro 32"" a 60""","$ 9.520,00",https://carrefourar.vtexassets.com/arquivos/ids/345718-170-170?v=638230486184700000&width=170&height=170&aspect=true,Carrefour,,
"Tv led BHG 55"" UHD Smart andorid B negro","$ 569.999,00",https://carrefourar.vtexassets.com/arquivos/ids/258618-170-170?v=638018115936730000&width=170&height=170&aspect=true,Carrefour,,
Soporte tv Eurosound,"$ 29.900,00",https://carrefourar.vtexassets.com/arquivos/ids/205304-170-170?v=637604375743270000&width=170&height=170&aspect=true,Carrefour,,
Soporte tv Eurosound   braso movil,"$ 28.900,00",https://carrefourar.vtexassets.com/arquivos/ids/205318-170-170?v=637604375850270000&width=170&height=170&aspect=true,Carrefour,,
Antena Directv Prepago,"$ 9.999,00",https://carrefourar.vtexassets.com/arquivos/ids/156944-170-170?v=637467543386930000&width=170&height=170&aspect=true,Carrefour,,
"Soporte móvil de TV TGW para pared 17"" a 42""","$ 34.990,00",https://carrefourar.vtexassets.com/arquivos/ids/156869-170-170?v=637467542629470000&width=170&height=170&aspect=true,Carrefour,,
"Smart tv qled android googletv 85"" TCL  l","$ 1.999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419851-170-170?v=638361974483970000&width=170&height=170&aspect=true,Carrefour,,
Kit Antena DirecTV Prepago,"$ 9.999,00",https://carrefourar.vtexassets.com/arquivos/ids/156874-170-170?v=637467542669830000&width=170&height=170&aspect=true,Carrefour,,
"Tv led BGH 65"" UHD Smart android B negro","$ 999.999,00",https://carrefourar.vtexassets.com/arquivos/ids/258615-170-170?v=638018115927230000&width=170&height=170&aspect=true,Carrefour,,
Aceite de girasol Pureza .,"$ 1.975,00",https://carrefourar.vtexassets.com/arquivos/ids/155419-170-170?v=637457062386100000&width=170&height=170&aspect=true,Carrefour,1500.0,cc
Aceite de girasol Legitimo .,"$ 1.300,00",https://carrefourar.vtexassets.com/arquivos/ids/263188-170-170?v=638042211872630000&width=170&height=170&aspect=true,Carrefour,900.0,cc
Aceite de girasol Legitimo .,"$ 2.080,00",https://carrefourar.vtexassets.com/arquivos/ids/263189-170-170?v=638042211886030000&width=170&height=170&aspect=true,Carrefour,1.5,l
Aceite en aerosol Carrefour classic girasol .,"$ 1.244,17",https://carrefourar.vtexassets.com/arquivos/ids/386710-170-170?v=638318705632130000&width=170&height=170&aspect=true,Carrefour,150.0,cc
Aceite de girasol Natura .,"$ 2.280,00",https://carrefourar.vtexassets.com/arquivos/ids/155414-170-170?v=637457062358330000&width=170&height=170&aspect=true,Carrefour,1.5,l
Aceite de girasol Carrefour alto omega pet .,"$ 1.379,08",https://carrefourar.vtexassets.com/arquivos/ids/246133-170-170?v=637901365090430000&width=170&height=170&aspect=true,Carrefour,900.0,cc
Vinagre de alcohol Menoyo .,"$ 476,00",https://carrefourar.vtexassets.com/arquivos/ids/182600-170-170?v=637468589448670000&width=170&height=170&aspect=true,Carrefour,500.0,cc
Aceite de girasol Lira .,"$ 1.900,00",https://carrefourar.vtexassets.com/arquivos/ids/155427-170-170?v=637457062428630000&width=170&height=170&aspect=true,Carrefour,900.0,cc
Vinagre de alcohol Menoyo .,"$ 750,00",https://carrefourar.vtexassets.com/arquivos/ids/209174-170-170?v=637643048202800000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceite de girasol Lira .,"$ 3.025,00",https://carrefourar.vtexassets.com/arquivos/ids/155433-170-170?v=637457062458370000&width=170&height=170&aspect=true,Carrefour,1.5,l
Vinagre de alcohol Casalta .,"$ 944,00",https://carrefourar.vtexassets.com/arquivos/ids/182659-170-170?v=637468589529100000&width=170&height=170&aspect=true,Carrefour,1.0,l
Aceite de girasol Cocinero .,"$ 1.965,00",https://carrefourar.vtexassets.com/arquivos/ids/155429-170-170?v=637457062437730000&width=170&height=170&aspect=true,Carrefour,900.0,g
Aceite de oliva Carrefour extra virgen .,"$ 8.279,08",https://carrefourar.vtexassets.com/arquivos/ids/167037-170-170?v=637467733748700000&width=170&height=170&aspect=true,Carrefour,500.0,cc
